Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2048035, MARQUISE, 0.61, I1, FANCY, GD, GD, GD, F, M,"$1,034.74",https://capitalwholesalediamonds.com/product/0-61-ct-marquise/
 2137205, MARQUISE, 0.5, VS2, J, EX, VG, VG, VG, ST,"$1,298.90",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-84/
 1026824, Marquise, 0.74, SI1, G,, EX, EX, EX, NONE,"$1,319.36",https://capitalwholesalediamonds.com/product/0-74-ct-marquise/
 2082729, MARQUISE, 0.5, SI1, H, EX, EX, EX, VG, F,"$1,351.16",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-40/
 2135860, MARQUISE, 0.5, SI1, J, EX, EX, EX, VG, F,"$1,367.26",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-91/
 2121512, MARQUISE, 0.5, SI2, E, EX, VG, VG, VG, M,"$1,385.85",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-20/
 2041497, MARQUISE, 0.51, SI1, H, EX, EX, EX, VG, N,"$1,385.95",https://capitalwholesalediamonds.com/product/0-51-ct-marquise-3/
 2114742, MARQUISE, 0.7, SI1, K, EX, EX, EX, EX, ST,"$1,386.29",https://capitalwholesalediamonds.com/product/0-7-ct-marquise-18/
 2122652, MARQUISE, 0.5, SI1, J, EX, VG, VG, VG, N,"$1,395.10",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-19/
 2049953, MARQUISE, 0.5, SI1, H, EX, EX, EX, EX, N,"$1,399.49",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-22/
 2080588, MARQUISE, 0.5, SI1, H, EX, VG, VG, VG, F,"$1,439.09",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-53/
 2034438, MARQUISE, 0.7, SI2, K, GD, EX, EX, VG, N,"$1,470.46",https://capitalwholesalediamonds.com/product/0-7-ct-marquise/
 2038050, MARQUISE, 0.51, SI1, G, EX, EX, EX, VG, N,"$1,488.70",https://capitalwholesalediamonds.com/product/0-51-ct-marquise/
 2100030, MARQUISE, 0.8, SI1, M, EX, EX, EX, VG, F,"$1,504.17",https://capitalwholesalediamonds.com/product/0-8-ct-marquise-5/
 2133095, MARQUISE, 0.5, VS2, I, VG, EX, EX, VG, ST,"$1,511.81",https://capitalwholesalediamonds.com/product/0-5-ct-marquise-79/
